,eta,gamma,max_depth,min_child_weight,max_delta_step,subsample,colsample_bytree,colsample_bylevel,lambda,alpha,num_round,nthread,silent,objective,seed,validate_parameters,instance,error,running time,timeed out?,crashed?
0,0.6,0.0,10,1.0,5.0,0.6535000000000001,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,92683,1,i3,0.028819490925780733,700.5215263366699,False,False
1,0.6,0.0,10,1.0,5.0,0.7030000000000001,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,13340,1,i1,0.02862770595884645,693.9561834335327,False,False
2,0.6,0.0,10,1.0,5.0,0.406,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,87405,1,i3,0.036411619590369315,680.6853280067444,False,False
3,0.6,0.0,10,1.0,5.0,0.2575,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,92727,1,i2,0.0493966456942877,577.2932381629944,False,False
4,0.6,0.0,10,1.0,5.0,0.5545,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,68640,1,i1,0.032031668324026596,725.0550391674042,False,False
5,0.6,0.0,10,1.0,5.0,0.6535000000000001,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,45967,1,i5,0.030578875905987624,693.8639886379242,False,False
6,0.6,0.0,10,1.0,5.0,0.8515,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,53180,1,i2,0.02753819969019522,617.5516352653503,False,False
7,0.6,0.0,10,1.0,5.0,0.802,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,24430,1,i5,0.02839876843051381,643.490195274353,False,False
8,0.6,0.0,10,1.0,5.0,0.7030000000000001,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,89990,1,i4,0.029794802164808454,674.0816905498505,False,False
9,0.6,0.0,10,1.0,5.0,0.7525000000000001,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,96677,1,i4,0.0297756784150236,658.5148222446442,False,False
10,0.6,0.0,10,1.0,5.0,0.01,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,44107,1,i5,0.21093496012698165,445.4125599861145,False,False
11,0.6,0.0,10,1.0,5.0,0.01,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,10047,1,i3,0.2092903176454839,468.67301845550537,False,False
12,0.6,0.0,10,1.0,5.0,0.059500000000000004,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,80457,1,i3,0.12596813983285837,471.737672328949,False,False
13,0.6,0.0,10,1.0,5.0,0.059500000000000004,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,96217,1,i5,0.12730680231779845,471.9902012348175,False,False
14,0.6,0.0,10,1.0,5.0,0.01,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,67746,1,i2,0.21703543630835131,479.4748818874359,False,False
15,0.6,0.0,10,1.0,5.0,0.01,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,89234,1,i1,0.21666794155893832,499.1140501499176,False,False
16,0.6,0.0,10,1.0,5.0,0.059500000000000004,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,49762,1,i4,0.13113155227477002,513.6797590255737,False,False
17,0.6,0.0,10,1.0,5.0,0.01,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,78602,1,i4,0.22032472127134684,536.8822302818298,False,False
18,0.6,0.0,10,1.0,5.0,0.059500000000000004,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,87319,1,i2,0.12696257482167106,574.0550274848938,False,False
19,0.6,0.0,10,1.0,5.0,0.059500000000000004,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,50494,1,i1,0.12778245238277364,578.2242124080658,False,False
20,0.6,0.0,10,1.0,5.0,0.20800000000000002,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,76549,1,i2,0.05597521562027885,601.9579641819,False,False
21,0.6,0.0,10,1.0,5.0,0.109,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,14150,1,i3,0.09047446023216232,601.9364211559296,False,False
22,0.6,0.0,10,1.0,5.0,0.15850000000000003,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,75887,1,i4,0.07035627545849188,610.3813979625702,False,False
23,0.6,0.0,10,1.0,5.0,0.109,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,53552,1,i2,0.09135415272226577,612.6982192993164,False,False
24,0.6,0.0,10,1.0,5.0,0.15850000000000003,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,50243,1,i3,0.06678013424872353,615.4305474758148,False,False
25,0.6,0.0,10,1.0,5.0,0.109,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,35888,1,i4,0.08986250023904685,626.4365582466125,False,False
26,0.6,0.0,10,1.0,5.0,0.15850000000000003,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,93969,1,i2,0.06855864297871528,640.6996095180511,False,False
27,0.6,0.0,10,1.0,5.0,1.0,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,58850,1,i5,0.027366085942131524,647.1534008979797,False,False
28,0.6,0.0,10,1.0,5.0,0.2575,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,42843,1,i1,0.05163313699992356,653.3824121952057,False,False
29,0.6,0.0,10,1.0,5.0,0.15850000000000003,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,16480,1,i1,0.06916928019582347,653.9291033744812,False,False
30,0.6,0.0,10,1.0,5.0,0.109,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,60134,1,i1,0.08957393100283029,662.9823689460754,False,False
31,0.6,0.0,10,1.0,5.0,0.109,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,47466,1,i5,0.09357250769730929,663.1037411689758,False,False
32,0.6,0.0,10,1.0,5.0,0.15850000000000003,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,92698,1,i5,0.06922797422118532,671.890823841095,False,False
